Tipo;ID;Parent ID;Nome (EN);Nome (TH);Prezzo;Modificatore Prezzo;SKU;Descrizione (EN);Descrizione (TH);Immagine (URL);Immagine (File);Icona Categoria;Gruppo Extra Abilitati
"Categoria";"traditional-italian-pizza";"";"Traditional Italian Pizza";"พิซซ่าอิตาเลียนแบบดั้งเดิม";"";"";"";"";"";"";"";"🍕";""
"Extra";"10100";"pizza-sweet-bell-pepper-vegan";"Vegetables Extra";"ผักเพิ่ม";"50";"";"10100";"";"";"";"";"";""
"Piatto";"calzone";"traditional-italian-pizza";"CALZONE";"คัลโซเน่";"210";"";"";"Tomato Sauce, Olive Oil, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, ชีสมอสซาเรลล่า";"https://gjqevgkbjkharczhikcl.supabase.co/storage/v1/object/public/delivery_food/01-Pizza/04-calzone.webp";"01-Pizza/04-calzone.webp";"";"Pizza Extras"
"Variante";"10003";"calzone";"12""";"12""";"210";"0";"10003";"";"";"";"";"";""
"Variante";"10014";"calzone";"12"" (Ham & Cheese)";"12"" (Ham & Cheese)";"250";"40";"10014";"";"";"";"";"";""
"Variante";"10041";"calzone";"8""";"8""";"140";"-70";"10041";"";"";"";"";"";""
"Variante";"10066";"calzone";"8"" (Ham & Cheese)";"8"" (Ham & Cheese)";"165";"-45";"10066";"";"";"";"";"";""
"Extra";"10122";"calzone";"1 Egg Extra";"ไข่ไก่เพิ่ม";"20";"";"10122";"";"";"";"";"";""
"Extra";"10285";"calzone";"Anchovies Extra";"แองโชวี่เพิ่ม";"50";"";"10285";"";"";"";"";"";""
"Extra";"10096";"calzone";"Artichoke Extra";"อาร์ติโชคเพิ่ม";"50";"";"10096";"";"";"";"";"";""
"Extra";"10111";"calzone";"Bacon Extra";"เบคอนเพิ่ม";"50";"";"10111";"";"";"";"";"";""
"Extra";"10138";"calzone";"Black Olives Extra";"มะกอกดำเพิ่ม";"40";"";"10138";"";"";"";"";"";""
"Extra";"10121";"calzone";"Capers Extra";"เคเปอร์เพิ่ม";"40";"";"10121";"";"";"";"";"";""
"Extra";"10129";"calzone";"Chicken Ham Extra";"แฮมไก่เพิ่ม";"50";"";"10129";"";"";"";"";"";""
"Extra";"10141";"calzone";"Chicken Salame Extra";"ซาลามี่ไก่เพิ่ม";"50";"";"10141";"";"";"";"";"";""
"Extra";"10102";"calzone";"Extra "" Mozzarella Cheese";"ชีสมอซซาเรลล่าเพิ่ม";"50";"";"10102";"";"";"";"";"";""
"Extra";"10191";"calzone";"Fresh Tomato Extra";"มะเขือเทศสดเพิ่ม";"20";"";"10191";"";"";"";"";"";""
